,person,project,time_start,time_end,duration
456,Frodo Baggins,Project b,2012-04-24T15:16:47Z,2012-04-24T18:57:47Z,4
457,Frodo Baggins,Project a,2012-04-24T23:29:25Z,2012-04-25T00:02:25Z,1
458,Frodo Baggins,Project b,2012-04-30T15:23:25Z,2012-04-30T17:10:25Z,2
459,Frodo Baggins,Project b,2012-05-01T02:39:09Z,2012-05-01T03:44:09Z,2
460,Frodo Baggins,Project b,2012-05-05T02:29:19Z,2012-05-05T03:18:19Z,1
461,Frodo Baggins,Project b,2012-05-05T04:13:59Z,2012-05-05T05:32:59Z,2
462,Frodo Baggins,Project b,2012-05-05T10:12:25Z,2012-05-05T11:17:25Z,2
463,Frodo Baggins,Project b,2012-05-07T05:16:17Z,2012-05-07T07:25:17Z,3
464,Frodo Baggins,Project b,2012-05-09T05:14:11Z,2012-05-09T05:50:11Z,1
465,Frodo Baggins,Project b,2012-05-09T11:15:38Z,2012-05-09T12:03:38Z,1
466,Frodo Baggins,Project b,2012-05-16T01:33:21Z,2012-05-16T03:27:21Z,2
467,Frodo Baggins,Project b,2012-05-16T05:38:35Z,2012-05-16T06:48:35Z,2
468,Frodo Baggins,Project b,2012-05-17T18:31:04Z,2012-05-17T21:20:04Z,3
469,Frodo Baggins,Project b,2012-05-18T06:13:33Z,2012-05-18T07:56:33Z,2
470,Frodo Baggins,Project b,2012-05-22T02:19:28Z,2012-05-22T04:52:28Z,3
471,Frodo Baggins,Project b,2012-05-22T07:47:25Z,2012-05-22T08:56:25Z,2
472,Frodo Baggins,Project b,2012-05-24T09:02:08Z,2012-05-24T10:32:08Z,2
473,Frodo Baggins,Project b,2012-05-24T17:24:47Z,2012-05-24T18:13:47Z,1
474,Frodo Baggins,Project b,2012-05-24T23:32:05Z,2012-05-25T00:24:05Z,1
475,Frodo Baggins,Project b,2012-05-30T16:30:51Z,2012-05-30T20:16:51Z,4
476,Frodo Baggins,Project b,2012-05-31T02:53:13Z,2012-05-31T06:26:13Z,4
477,Frodo Baggins,Project b,2012-06-01T19:01:08Z,2012-06-01T23:11:08Z,5
478,Frodo Baggins,Project b,2012-06-02T06:33:41Z,2012-06-02T09:00:41Z,3
479,Frodo Baggins,Project b,2012-06-03T22:31:31Z,2012-06-03T23:21:31Z,1
480,Frodo Baggins,Project b,2012-06-04T08:38:52Z,2012-06-04T08:49:52Z,1
481,Frodo Baggins,Project b,2012-06-04T09:00:47Z,2012-06-04T13:25:47Z,5
482,Frodo Baggins,Project b,2012-06-06T02:06:11Z,2012-06-06T05:01:11Z,3
483,Frodo Baggins,Project b,2012-06-06T16:26:46Z,2012-06-06T18:06:46Z,2
484,Frodo Baggins,Project b,2012-06-06T20:01:23Z,2012-06-06T21:01:23Z,1
485,Frodo Baggins,Project b,2012-06-08T07:41:02Z,2012-06-08T08:42:02Z,2
486,Frodo Baggins,Project b,2012-06-30T03:24:10Z,2012-06-30T07:11:10Z,4
487,Frodo Baggins,Project a,2012-07-01T22:40:57Z,2012-07-02T01:30:57Z,3
488,Frodo Baggins,Project b,2012-07-02T08:00:16Z,2012-07-02T11:18:16Z,4
489,Frodo Baggins,Project b,2012-07-04T00:18:14Z,2012-07-04T01:06:14Z,1
490,Frodo Baggins,Project b,2012-07-04T10:25:41Z,2012-07-04T13:59:41Z,4
491,Frodo Baggins,Project b,2012-07-06T21:30:34Z,2012-07-06T21:54:34Z,1
492,Frodo Baggins,Project b,2012-07-07T02:19:28Z,2012-07-07T03:10:28Z,1
493,Frodo Baggins,Project b,2012-07-08T08:44:39Z,2012-07-08T09:21:39Z,1
494,Frodo Baggins,Project b,2012-07-15T06:35:49Z,2012-07-15T09:45:49Z,4
495,Frodo Baggins,Project b,2012-07-16T20:57:30Z,2012-07-17T00:48:30Z,4
496,Frodo Baggins,Project b,2012-07-17T06:44:27Z,2012-07-17T08:06:27Z,2
497,Frodo Baggins,Project b,2012-07-17T13:26:51Z,2012-07-17T15:52:51Z,3
498,Frodo Baggins,Project b,2012-07-19T12:55:37Z,2012-07-19T13:08:37Z,1
499,Frodo Baggins,Project b,2012-07-21T13:47:11Z,2012-07-21T17:22:11Z,4
500,Frodo Baggins,Project b,2012-07-23T08:16:45Z,2012-07-23T09:02:45Z,1
501,Frodo Baggins,Project b,2012-07-23T09:54:34Z,2012-07-23T12:49:34Z,3
502,Frodo Baggins,Project b,2012-07-23T17:25:09Z,2012-07-23T18:10:09Z,1
503,Frodo Baggins,Project b,2012-07-23T22:52:06Z,2012-07-23T23:46:06Z,1
504,Frodo Baggins,Project b,2012-07-29T18:28:34Z,2012-07-29T22:33:34Z,5
505,Frodo Baggins,Project b,2012-07-30T04:42:40Z,2012-07-30T05:34:40Z,1
506,Frodo Baggins,Project b,2012-07-30T07:16:52Z,2012-07-30T08:56:52Z,2
507,Frodo Baggins,Project b,2012-07-31T21:48:13Z,2012-08-01T02:08:13Z,5
508,Frodo Baggins,Project b,2012-08-03T01:05:43Z,2012-08-03T05:18:43Z,5
509,Frodo Baggins,Project b,2012-08-05T04:58:50Z,2012-08-05T08:37:50Z,4
510,Frodo Baggins,Project b,2012-08-05T13:57:54Z,2012-08-05T14:59:54Z,2
511,Frodo Baggins,Project b,2012-08-05T17:17:57Z,2012-08-05T20:24:57Z,4
512,Frodo Baggins,Project b,2012-08-06T00:36:22Z,2012-08-06T00:58:22Z,1
513,Frodo Baggins,Project b,2012-08-07T07:53:36Z,2012-08-07T09:17:36Z,2
514,Frodo Baggins,Project b,2012-08-13T18:09:42Z,2012-08-13T22:09:42Z,4
515,Frodo Baggins,Project b,2012-08-14T03:42:38Z,2012-08-14T06:50:38Z,4
516,Frodo Baggins,Project b,2012-08-15T23:16:39Z,2012-08-16T03:31:39Z,5
517,Frodo Baggins,Project b,2012-08-16T09:32:35Z,2012-08-16T12:56:35Z,4
518,Frodo Baggins,Project b,2012-08-18T12:40:49Z,2012-08-18T13:58:49Z,2
519,Frodo Baggins,Project b,2012-08-20T05:24:31Z,2012-08-20T09:25:31Z,5
520,Frodo Baggins,Project b,2012-08-22T18:55:20Z,2012-08-22T21:42:20Z,3
521,Frodo Baggins,Project b,2012-08-29T05:38:16Z,2012-08-29T08:03:16Z,3
522,Frodo Baggins,Project b,2012-08-29T11:21:00Z,2012-08-29T11:53:00Z,1
523,Frodo Baggins,Project b,2012-08-29T13:06:40Z,2012-08-29T13:47:40Z,1
524,Frodo Baggins,Project b,2012-08-30T22:53:30Z,2012-08-31T00:09:30Z,2
525,Frodo Baggins,Project b,2012-08-31T01:35:28Z,2012-08-31T04:26:28Z,3
526,Frodo Baggins,Project b,2012-08-31T10:12:25Z,2012-08-31T15:16:25Z,6
527,Frodo Baggins,Project b,2012-09-02T02:03:23Z,2012-09-02T06:16:23Z,5
528,Frodo Baggins,Project b,2012-09-02T12:42:56Z,2012-09-02T16:24:56Z,4
529,Frodo Baggins,Project b,2012-09-04T06:07:06Z,2012-09-04T09:52:06Z,4
530,Frodo Baggins,Project b,2012-09-04T15:28:01Z,2012-09-04T19:37:01Z,5
531,Frodo Baggins,Project b,2012-09-06T09:03:00Z,2012-09-06T13:10:00Z,5
532,Frodo Baggins,Project b,2012-09-15T10:25:13Z,2012-09-15T11:48:13Z,2
533,Frodo Baggins,Project b,2012-09-19T07:12:52Z,2012-09-19T11:10:52Z,4
534,Frodo Baggins,Project b,2012-09-19T17:12:23Z,2012-09-19T21:27:23Z,5
535,Frodo Baggins,Project b,2012-09-21T14:53:23Z,2012-09-21T15:44:23Z,1
536,Frodo Baggins,Project a,2012-09-21T16:41:35Z,2012-09-21T17:45:35Z,2
537,Frodo Baggins,Project a,2012-09-21T21:39:23Z,2012-09-21T23:38:23Z,2
538,Frodo Baggins,Project b,2012-09-27T20:52:02Z,2012-09-27T21:52:02Z,1
539,Frodo Baggins,Project b,2012-09-28T01:53:03Z,2012-09-28T02:48:03Z,1
540,Frodo Baggins,Project b,2012-09-29T23:53:13Z,2012-09-30T01:24:13Z,2
541,Frodo Baggins,Project b,2012-09-30T03:07:39Z,2012-09-30T05:35:39Z,3
542,Frodo Baggins,Project b,2012-09-30T09:29:40Z,2012-09-30T11:24:40Z,2
543,Frodo Baggins,Project b,2012-10-02T02:54:50Z,2012-10-02T03:32:50Z,1
544,Frodo Baggins,Project b,2012-10-04T07:37:30Z,2012-10-04T10:51:30Z,4
545,Frodo Baggins,Project b,2012-10-04T15:36:29Z,2012-10-04T15:49:29Z,1
546,Frodo Baggins,Project b,2012-10-06T10:36:42Z,2012-10-06T14:34:42Z,4
547,Frodo Baggins,Project b,2012-10-06T20:41:21Z,2012-10-06T21:08:21Z,1
548,Frodo Baggins,Project b,2012-10-07T02:15:32Z,2012-10-07T03:28:32Z,2
549,Frodo Baggins,Project b,2012-10-15T09:49:22Z,2012-10-15T10:44:22Z,1
550,Frodo Baggins,Project a,2012-10-15T12:46:55Z,2012-10-15T16:40:55Z,4
551,Frodo Baggins,Project a,2012-10-17T06:15:57Z,2012-10-17T09:09:57Z,3
552,Frodo Baggins,Project b,2012-10-17T19:58:59Z,2012-10-17T21:37:59Z,2
553,Frodo Baggins,Project b,2012-10-19T07:34:21Z,2012-10-19T10:33:21Z,3
554,Frodo Baggins,Project b,2012-10-19T13:58:30Z,2012-10-19T14:34:30Z,1
555,Frodo Baggins,Project b,2012-10-19T16:13:47Z,2012-10-19T21:05:47Z,5
556,Frodo Baggins,Project b,2012-10-27T21:01:32Z,2012-10-27T23:28:32Z,3
557,Frodo Baggins,Project b,2012-10-28T04:02:10Z,2012-10-28T05:04:10Z,2
558,Frodo Baggins,Project b,2012-10-28T13:39:10Z,2012-10-28T13:54:10Z,1
559,Frodo Baggins,Project b,2012-10-30T00:36:12Z,2012-10-30T04:44:12Z,5
560,Frodo Baggins,Project b,2012-10-30T11:39:20Z,2012-10-30T14:13:20Z,3
561,Frodo Baggins,Project b,2012-10-30T17:07:52Z,2012-10-30T18:17:52Z,2
562,Frodo Baggins,Project b,2012-11-01T15:45:18Z,2012-11-01T16:45:18Z,1
563,Frodo Baggins,Project b,2012-11-01T19:20:32Z,2012-11-01T20:59:32Z,2
564,Frodo Baggins,Project b,2012-11-03T07:11:12Z,2012-11-03T08:08:12Z,1
565,Frodo Baggins,Project b,2012-11-03T09:44:43Z,2012-11-03T10:50:43Z,2
566,Frodo Baggins,Project b,2012-11-03T12:58:52Z,2012-11-03T14:27:52Z,2
567,Frodo Baggins,Project b,2012-11-05T11:04:47Z,2012-11-05T12:30:47Z,2
568,Frodo Baggins,Project b,2012-11-05T20:49:13Z,2012-11-05T21:10:13Z,1
569,Frodo Baggins,Project b,2012-11-12T17:44:34Z,2012-11-12T18:39:34Z,1
570,Frodo Baggins,Project b,2012-11-14T12:24:48Z,2012-11-14T14:21:48Z,2
571,Frodo Baggins,Project b,2012-11-16T14:42:32Z,2012-11-16T17:59:32Z,4
572,Frodo Baggins,Project b,2012-11-18T17:38:23Z,2012-11-18T21:07:23Z,4
573,Frodo Baggins,Project b,2012-11-19T01:06:30Z,2012-11-19T01:22:30Z,1
574,Frodo Baggins,Project b,2012-11-19T03:11:19Z,2012-11-19T03:44:19Z,1
575,Frodo Baggins,Project a,2012-11-20T13:55:54Z,2012-11-20T16:59:54Z,4
576,Frodo Baggins,Project b,2012-11-26T22:00:23Z,2012-11-27T00:29:23Z,3
577,Frodo Baggins,Project b,2012-11-27T08:49:45Z,2012-11-27T12:19:45Z,4
578,Frodo Baggins,Project b,2012-11-27T16:29:55Z,2012-11-27T17:06:55Z,1
579,Frodo Baggins,Project b,2012-11-29T04:07:30Z,2012-11-29T06:15:30Z,3
580,Frodo Baggins,Project b,2012-11-29T08:48:34Z,2012-11-29T09:46:34Z,1
581,Frodo Baggins,Project b,2012-11-29T11:57:49Z,2012-11-29T13:49:49Z,2
582,Frodo Baggins,Project b,2012-12-01T05:32:50Z,2012-12-01T07:35:50Z,3
583,Frodo Baggins,Project b,2012-12-01T12:45:18Z,2012-12-01T13:25:18Z,1
584,Frodo Baggins,Project b,2012-12-01T16:00:23Z,2012-12-01T16:57:23Z,1
585,Frodo Baggins,Project b,2012-12-03T11:37:33Z,2012-12-03T14:33:33Z,3
586,Frodo Baggins,Project a,2012-12-03T22:55:36Z,2012-12-04T01:59:36Z,4
587,Frodo Baggins,Project a,2012-12-05T12:02:17Z,2012-12-05T15:55:17Z,4
588,Frodo Baggins,Project a,2012-12-06T04:56:26Z,2012-12-06T05:50:26Z,1
589,Frodo Baggins,Project b,2012-12-14T12:04:25Z,2012-12-14T12:25:25Z,1
590,Frodo Baggins,Project b,2012-12-14T14:33:22Z,2012-12-14T16:18:22Z,2
591,Frodo Baggins,Project b,2012-12-18T21:50:41Z,2012-12-18T23:03:41Z,2
592,Frodo Baggins,Project b,2012-12-20T17:03:51Z,2012-12-20T18:55:51Z,2
593,Frodo Baggins,Project b,2012-12-20T22:23:15Z,2012-12-21T01:50:15Z,4
594,Frodo Baggins,Project b,2012-12-26T20:23:07Z,2012-12-27T00:40:07Z,5
595,Frodo Baggins,Project b,2012-12-29T10:47:59Z,2012-12-29T12:07:59Z,2
596,Frodo Baggins,Project b,2012-12-29T14:08:34Z,2012-12-29T17:22:34Z,4
597,Frodo Baggins,Project b,2012-12-31T07:26:20Z,2012-12-31T10:04:20Z,3
598,Frodo Baggins,Project b,2012-12-31T16:44:24Z,2012-12-31T16:52:24Z,1
599,Frodo Baggins,Project b,2012-12-31T17:00:00Z,2012-12-31T20:27:00Z,4
1600,Gandalf,Project c,2012-01-01T13:00:39Z,2012-01-01T13:01:39Z,1
1601,Gandalf,Project b,2012-01-05T00:08:26Z,2012-01-05T02:08:26Z,2
1602,Gandalf,Project b,2012-01-07T23:08:01Z,2012-01-08T03:08:01Z,4
1603,Gandalf,Project b,2012-01-11T10:53:52Z,2012-01-11T14:53:52Z,4
1604,Gandalf,Project b,2012-01-13T11:40:46Z,2012-01-13T15:40:46Z,4
1605,Gandalf,Project b,2012-01-23T08:09:29Z,2012-01-23T12:09:29Z,4
1606,Gandalf,Project b,2012-01-26T02:23:39Z,2012-01-26T10:23:39Z,8
1607,Gandalf,Project b,2012-02-08T04:23:28Z,2012-02-08T06:23:28Z,2
1608,Gandalf,Project a,2012-02-18T03:12:40Z,2012-02-18T03:42:40Z,1
1609,Gandalf,Project b,2012-02-19T22:06:49Z,2012-02-20T06:06:49Z,8
1610,Gandalf,Project b,2012-02-20T20:12:34Z,2012-02-21T04:12:34Z,8
1611,Gandalf,Project b,2012-02-21T18:18:19Z,2012-02-22T02:18:19Z,8
1612,Gandalf,Project b,2012-02-24T12:35:35Z,2012-02-24T20:35:35Z,8
1613,Gandalf,Project b,2012-02-26T08:47:05Z,2012-02-26T16:47:05Z,8
1614,Gandalf,Project b,2012-02-28T04:58:36Z,2012-02-28T12:58:36Z,8
1615,Gandalf,Project c,2012-03-02T21:21:36Z,2012-03-03T05:21:36Z,8
1616,Gandalf,Project b,2012-03-04T17:33:07Z,2012-03-05T01:33:07Z,8
1617,Gandalf,Project c,2012-03-12T02:19:08Z,2012-03-12T10:19:08Z,8
1618,Gandalf,Project c,2012-03-15T18:42:08Z,2012-03-16T02:42:08Z,8
1619,Gandalf,Project c,2012-03-17T14:53:39Z,2012-03-17T22:53:39Z,8
1620,Gandalf,Project c,2012-03-24T01:33:55Z,2012-03-24T09:33:55Z,8
1621,Gandalf,Project c,2012-03-24T23:39:40Z,2012-03-25T07:39:40Z,8
1622,Gandalf,Project c,2012-03-28T16:02:41Z,2012-03-29T00:02:41Z,8
1623,Gandalf,Project c,2012-03-29T14:08:26Z,2012-03-29T22:08:26Z,8
1624,Gandalf,Project c,2012-03-30T12:14:11Z,2012-03-30T20:14:11Z,8
1625,Gandalf,Project c,2012-03-31T10:19:56Z,2012-03-31T18:19:56Z,8
1626,Gandalf,Project c,2012-04-03T04:37:12Z,2012-04-03T08:37:12Z,4
1627,Gandalf,Project a,2012-04-03T10:08:38Z,2012-04-03T12:08:38Z,2
1628,Gandalf,Project c,2012-04-04T02:42:57Z,2012-04-04T03:42:57Z,1
1629,Gandalf,Project c,2012-04-04T03:38:11Z,2012-04-04T04:38:11Z,1
1630,Gandalf,Project b,2012-04-06T02:35:25Z,2012-04-06T06:35:25Z,4
1631,Gandalf,Project c,2012-04-10T15:13:42Z,2012-04-10T18:13:42Z,3
1632,Gandalf,Project b,2012-04-10T23:30:51Z,2012-04-11T01:30:51Z,2
1633,Gandalf,Project c,2012-04-16T01:57:44Z,2012-04-16T03:57:44Z,2
1634,Gandalf,Project b,2012-04-16T05:38:41Z,2012-04-16T09:38:41Z,4
1635,Gandalf,Project b,2012-04-17T00:03:29Z,2012-04-17T08:03:29Z,8
1636,Gandalf,Project c,2012-04-17T00:03:29Z,2012-04-17T01:03:29Z,1
1637,Gandalf,Project b,2012-04-17T22:09:14Z,2012-04-18T06:09:14Z,8
1638,Gandalf,Project c,2012-04-18T23:55:57Z,2012-04-19T03:55:57Z,4
1639,Gandalf,Project c,2012-04-19T18:20:45Z,2012-04-19T19:20:45Z,1
1640,Gandalf,Project b,2012-04-19T18:20:45Z,2012-04-20T02:20:45Z,8
1641,Gandalf,Project b,2012-04-22T12:38:00Z,2012-04-22T16:38:00Z,4
1642,Gandalf,Project b,2012-04-22T16:18:58Z,2012-04-22T20:18:58Z,4
1643,Gandalf,Project b,2012-04-23T11:39:00Z,2012-04-23T15:39:00Z,4
1644,Gandalf,Project c,2012-04-23T15:19:57Z,2012-04-23T18:19:57Z,3
1645,Gandalf,Project c,2012-05-12T18:44:34Z,2012-05-13T02:44:34Z,8
1646,Gandalf,Project c,2012-05-19T05:24:50Z,2012-05-19T13:24:50Z,8
1647,Gandalf,Project c,2012-05-21T23:42:05Z,2012-05-22T07:42:05Z,8
1648,Gandalf,Project c,2012-05-26T14:10:51Z,2012-05-26T22:10:51Z,8
1649,Gandalf,Project c,2012-05-27T12:16:36Z,2012-05-27T20:16:36Z,8
1650,Gandalf,Project b,2012-05-28T10:22:21Z,2012-05-28T18:22:21Z,8
1651,Gandalf,Project c,2012-05-28T10:22:21Z,2012-05-28T12:22:21Z,2
1652,Gandalf,Project b,2012-05-31T04:39:37Z,2012-05-31T12:39:37Z,8
1653,Gandalf,Project b,2012-06-01T02:45:22Z,2012-06-01T10:45:22Z,8
1654,Gandalf,Project b,2012-06-02T22:56:52Z,2012-06-03T06:56:52Z,8
1655,Gandalf,Project c,2012-06-07T13:25:38Z,2012-06-07T15:25:38Z,2
1656,Gandalf,Project b,2012-06-09T09:37:08Z,2012-06-09T17:37:08Z,8
1657,Gandalf,Project b,2012-06-10T07:42:54Z,2012-06-10T15:42:54Z,8
1658,Gandalf,Project b,2012-06-13T02:00:09Z,2012-06-13T10:00:09Z,8
1659,Gandalf,Project b,2012-06-14T00:05:54Z,2012-06-14T08:05:54Z,8
1660,Gandalf,Project b,2012-06-14T22:11:39Z,2012-06-15T06:11:39Z,8
1661,Gandalf,Project c,2012-06-19T16:21:23Z,2012-06-19T20:21:23Z,4
1662,Gandalf,Project c,2012-06-20T10:46:10Z,2012-06-20T18:46:10Z,8
1663,Gandalf,Project b,2012-06-23T05:03:26Z,2012-06-23T13:03:26Z,8
1664,Gandalf,Project c,2012-06-26T21:26:27Z,2012-06-27T01:26:27Z,4
1665,Gandalf,Project b,2012-06-28T21:18:54Z,2012-06-29T01:18:54Z,4
1666,Gandalf,Project c,2012-06-29T19:24:40Z,2012-06-29T23:24:40Z,4
1667,Gandalf,Project b,2012-07-02T10:00:58Z,2012-07-02T18:00:58Z,8
1668,Gandalf,Project c,2012-07-03T08:06:43Z,2012-07-03T12:06:43Z,4
1669,Gandalf,Project b,2012-07-04T06:12:28Z,2012-07-04T14:12:28Z,8
1670,Gandalf,Project b,2012-07-05T07:59:11Z,2012-07-05T11:59:11Z,4
1671,Gandalf,Project c,2012-07-08T20:41:14Z,2012-07-09T00:41:14Z,4
1672,Gandalf,Project b,2012-07-09T02:12:40Z,2012-07-09T04:12:40Z,2
1673,Gandalf,Project b,2012-07-10T16:52:44Z,2012-07-11T00:52:44Z,8
1674,Gandalf,Project b,2012-07-12T13:04:14Z,2012-07-12T21:04:14Z,8
1675,Gandalf,Project c,2012-07-12T17:40:26Z,2012-07-12T19:40:26Z,2
1676,Gandalf,Project c,2012-07-16T08:12:58Z,2012-07-16T12:12:58Z,4
1677,Gandalf,Project b,2012-07-17T03:33:00Z,2012-07-17T11:33:00Z,8
1678,Gandalf,Project b,2012-07-18T01:38:45Z,2012-07-18T09:38:45Z,8
1679,Gandalf,Project a,2012-07-21T18:01:46Z,2012-07-22T02:01:46Z,8
1680,Gandalf,Project b,2012-07-22T16:07:31Z,2012-07-23T00:07:31Z,8
1681,Gandalf,Project b,2012-07-23T14:13:16Z,2012-07-23T22:13:16Z,8
1682,Gandalf,Project b,2012-07-24T12:19:01Z,2012-07-24T16:17:01Z,4
1683,Gandalf,Project b,2012-07-24T15:59:59Z,2012-07-24T19:59:59Z,4
1684,Gandalf,Project c,2012-07-24T16:55:13Z,2012-07-24T18:55:13Z,2
1685,Gandalf,Project c,2012-07-25T10:24:47Z,2012-07-25T18:24:47Z,8
1686,Gandalf,Project b,2012-07-28T04:42:02Z,2012-07-28T08:42:02Z,4
1687,Gandalf,Project b,2012-07-29T02:47:47Z,2012-07-29T06:47:47Z,4
1688,Gandalf,Project c,2012-07-29T02:47:47Z,2012-07-29T04:47:47Z,2
1689,Gandalf,Project c,2012-08-04T13:28:03Z,2012-08-04T21:28:03Z,8
1690,Gandalf,Project c,2012-08-05T11:33:49Z,2012-08-05T15:33:49Z,4
1691,Gandalf,Project c,2012-08-06T09:39:34Z,2012-08-06T17:39:34Z,8
1692,Gandalf,Project c,2012-08-10T01:07:20Z,2012-08-10T05:07:20Z,4
1693,Gandalf,Project b,2012-08-10T05:43:32Z,2012-08-10T07:43:32Z,2
1694,Gandalf,Project c,2012-08-10T07:34:01Z,2012-08-10T09:34:01Z,2
1695,Gandalf,Project c,2012-08-11T04:44:31Z,2012-08-11T06:44:31Z,2
1696,Gandalf,Project b,2012-08-11T21:18:50Z,2012-08-12T01:18:50Z,4
1697,Gandalf,Project c,2012-08-12T01:55:02Z,2012-08-12T05:55:02Z,4
1698,Gandalf,Project c,2012-08-13T17:30:21Z,2012-08-13T23:30:21Z,6
1699,Gandalf,Project c,2012-08-13T23:01:47Z,2012-08-14T01:01:47Z,2
1700,Gandalf,Project c,2012-08-17T11:43:50Z,2012-08-17T19:43:50Z,8
